{TYPE_WINE, SUIT_CLUB, POINT_NINE},
{TYPE_WINE, SUIT_SPADE, POINT_THREE},
{TYPE_WINE, SUIT_SPADE, POINT_NINE},
{TYPE_WINE, SUIT_DIAMOND, POINT_THREE},
{TYPE_WINE, SUIT_DIAMOND, POINT_NINE},
{TYPE_FIRE_SLASH, SUIT_CLUB, POINT_FOUR},
{TYPE_FIRE_SLASH, SUIT_CLUB, POINT_FIVE},
{TYPE_FIRE_SLASH, SUIT_HEART, POINT_FOUR},
{TYPE_FIRE_SLASH, SUIT_HEART, POINT_SEVEN},
{TYPE_FIRE_SLASH, SUIT_HEART, POINT_TEN},
{TYPE_THUNDER_SLASH, SUIT_SPADE, POINT_FOUR},
{TYPE_THUNDER_SLASH, SUIT_SPADE, POINT_FIVE},
{TYPE_THUNDER_SLASH, SUIT_SPADE, POINT_SIX},
{TYPE_THUNDER_SLASH, SUIT_SPADE, POINT_SEVEN},
{TYPE_THUNDER_SLASH, SUIT_SPADE, POINT_EIGHT},
{TYPE_THUNDER_SLASH, SUIT_DIAMOND, POINT_FIVE},
{TYPE_THUNDER_SLASH, SUIT_DIAMOND, POINT_SIX},
{TYPE_THUNDER_SLASH, SUIT_DIAMOND, POINT_SEVEN},
{TYPE_THUNDER_SLASH, SUIT_DIAMOND, POINT_EIGHT},
{TYPE_JINK, SUIT_CLUB, POINT_SIX},
{TYPE_JINK, SUIT_CLUB, POINT_SEVEN},
{TYPE_JINK, SUIT_CLUB, POINT_EIGHT},
{TYPE_JINK, SUIT_CLUB, POINT_TEN},
{TYPE_JINK, SUIT_CLUB, POINT_JACK},
{TYPE_JINK, SUIT_HEART, POINT_EIGHT},
{TYPE_JINK, SUIT_HEART, POINT_NINE},
{TYPE_JINK, SUIT_HEART, POINT_JACK},
{TYPE_JINK, SUIT_HEART, POINT_QUENE},
{TYPE_PEACH, SUIT_CLUB, POINT_TWO},
{TYPE_PEACH, SUIT_CLUB, POINT_THREE},
{TYPE_PEACH, SUIT_HEART, POINT_FIVE},
{TYPE_PEACH, SUIT_HEART, POINT_SIX},
{TYPE_FOOD_SHORTAGE, SUIT_SPADE, POINT_TEN},
{TYPE_FOOD_SHORTAGE, SUIT_DIAMOND, POINT_FOUR},
{TYPE_FIRE_ATTACK, SUIT_CLUB, POINT_QUENE},
{TYPE_FIRE_ATTACK, SUIT_HEART, POINT_TWO},
{TYPE_FIRE_ATTACK, SUIT_HEART, POINT_THREE},
{TYPE_CHAIN, SUIT_SPADE, POINT_JACK},
{TYPE_CHAIN, SUIT_SPADE, POINT_QUENE},
{TYPE_CHAIN, SUIT_DIAMOND, POINT_TEN},
{TYPE_CHAIN, SUIT_DIAMOND, POINT_JACK},
{TYPE_CHAIN, SUIT_DIAMOND, POINT_QUENE},
{TYPE_CHAIN, SUIT_DIAMOND, POINT_KING},
{TYPE_INVULNERABLE, SUIT_SPADE, POINT_KING},
{TYPE_INVULNERABLE, SUIT_HEART, POINT_ONE},
{TYPE_INVULNERABLE, SUIT_HEART, POINT_KING},
{TYPE_GUDING_SWORD, SUIT_SPADE, POINT_ONE},
{TYPE_ROSEFINCH_FAN, SUIT_CLUB, POINT_ONE},
{TYPE_SILVER_LION, SUIT_DIAMOND, POINT_ONE},
{TYPE_RATTAN_ARMOR, SUIT_SPADE, POINT_TWO},
{TYPE_RATTAN_ARMOR, SUIT_DIAMOND, POINT_TWO},
{TYPE_HUALIU_HORSE, SUIT_CLUB, POINT_KING},
